Company Name,Billing Contact Person,Billing Email,Billing Phone,Billing Street Address,Billing Postal Code,Billing City,Billing Notes,Bedrijf Notities
"Autobedrijf Dobbe BV","T. van Vliet","t.vanvliet@nissandobbe.nl","","Damhouderstraat 19","2266 AS","Leidschendam","",""
"Adficom energielabels","","","","","","","",""
"Ado Den Haag","Marcel van Holst","m.vanderholst@adodenhaag.nl","+31703054547","Postbus 32400","2503 AC","Den Haag","",""
"ADO Stewards Supervisors","","","","","","","",""
"After's cool","Marie_Louise Zieleman","marie-louise@afterscool.nl","+31703589930","Pansierstraat 17-19","2584 EG","Den Haag","",""
"Alexander Hotel","","","","","","Noordwijk","",""
"Allport Netherlands BV","Kelly Kooijman","kelly.kooijman@allportnetherlands.nl","+31103021000","Marco Polostraat 22","3165 AL","Rotterdam- Albrandswaard","finance@allportnetherlands.nl","finance@allportnetherlands.nl"
"ASN Binckhorst","Edmond Dezentjé","edezentje@asnmail.nl","+31703820830","Binckhorstlaan 50","2595 WP","Den Haag","",""
"Astoria","","","","","","","",""
"Atlas","B. Bergenhenegouwen","","","","","","",""
"ATMZ","Anja Dijkhuizen","anja@at-mz.com","+31334656925","Siliciumweg 71","3812 SW","Amersfoort","",""
"AutoFacets B.V.","","","+31793200980","Maria Montessorilaan 5","2719 DB","Zoetermeer","",""
"Aver Information BV","","","","","","","",""
"Ayers Rock","Michel Roos","michel@ayersrock.nl","+31793230323","Buytenpark 4","2717 AX","Zoetermeer","",""
"B-Aparthotel","J. de Winter","j.dewinter@b-aparthotels.com","+31703020020","Stadhoudersplantsoen 18","2517 JL","Den Haag","",""
"Beachclub Birds","","","","","","","",""
"Beercoo","Merel Groeneboom","mgroenenboom@beercoo.nl","+31882337276","Weg en Bos 51-53","2661 DL","Bergschenhoek","",""
"Bemmel en Kroon","Rene van Bemmel","rene@bemmel-kroon.nl","+31703206065","Neckar 24","2491 BD","Den Haag","",""
"Beurtvaartadres","Sander Janssen","","","Maria Montessorilaan 1","2719 DB","Zoetermeer","",""
"Bex Beveiliging","Ellen Winkel","ellen@bex-beveiliging.nl","+31703588544","Henricuskade 63","2497 NB","Den Haag","Ellen is contactpersoon - 10% korting op BHV",""
"Bistro Le Petit Chef","","","","","","","",""
"Bos van der Burg advocaten","S.M.M. Reeuwijk","sreeuwijk@bosvanderburg.nl","+31793203366","Röntgenlaan 31","2719 DX","Zoetermeer","",""
