Cursusdatum,Cursusnaam,Locatienaam,Docent / Trainer,Status / Deelnemers,Herkomst CMS
"BHV","09-09-2026","09:00 - 16:30","BHV","Golden Tulip Hotel Zoetermeer","Edusafe Surlinio CMS"
"EHBO herhaling","10-09-2026","09:00 - 16:30","EHBO herhaling","Golden Tulip Hotel Zoetermeer","Edusafe Surlinio CMS"
"BHV","24-09-2026","09:00 - 13:00","BHV","Edusafe","Edusafe Surlinio CMS"
"BHV","07-10-2026","09:00 - 16:30","BHV","Golden Tulip Hotel Zoetermeer","Edusafe Surlinio CMS"
"BHV","28-10-2026","09:00 - 13:00","BHV","Edusafe","Edusafe Surlinio CMS"
"BHV","11-11-2026","09:00 - 13:00","BHV","Edusafe","Edusafe Surlinio CMS"
"BHV","25-11-2026","09:00 - 13:00","BHV","Edusafe","Edusafe Surlinio CMS"
"EHBO herhaling","01-12-2026","09:00 - 17:00","EHBO herhaling","Sportfondsen","Edusafe Surlinio CMS"
"EHBO herhaling","10-12-2026","09:00 - 16:30","EHBO herhaling","Edusafe","Edusafe Surlinio CMS"
"EHBO basis","04-08-2026","09:00 - 13:00","EHBO basis","Edusafe kantoor","Edusafe Surlinio CMS"
"BHV","15-07-2026","09:00 - 13:00","BHV","Edusafe","Edusafe Surlinio CMS"
"BHV","14-07-2026","13:00 - 17:00","BHV","new life living","Edusafe Surlinio CMS"
"BHV","10-07-2026","13:00 - 17:00","BHV","new life living","Edusafe Surlinio CMS"
"BHV Basis","09-07-2026","09:00 - 13:00","BHV Basis","Edusafe","Edusafe Surlinio CMS"
"BHV","06-07-2026","09:00 - 13:00","BHV","Minters","Edusafe Surlinio CMS"
"BHV","02-07-2026","09:00 - 12:00","BHV","Sportfondsen Oostervant","Edusafe Surlinio CMS"
"BHV","26-06-2026","09:00 - 12:00","BHV","Zevenkampse ring","Edusafe Surlinio CMS"
"BHV","25-06-2026","09:00 - 13:00","BHV","Minters","Edusafe Surlinio CMS"
"BHV","25-06-2026","09:00 - 12:00","BHV","Sportfondsen","Edusafe Surlinio CMS"
"BHV","23-06-2026","14:30 - 17:30","BHV","Picasso Lyceum","Edusafe Surlinio CMS"
"BHV","23-06-2026","09:00 - 13:00","BHV","Restaurant het Wolthuis","Edusafe Surlinio CMS"
"BHV","22-06-2026","18:30 - 22:30","BHV","Grand Café Roos","Edusafe Surlinio CMS"
"BHV","22-06-2026","14:00 - 18:00","BHV","Grand Café Roos","Edusafe Surlinio CMS"
"BHV","22-06-2026","13:00 - 17:00","BHV","AutoFacets B.V.","Edusafe Surlinio CMS"
"EHAK basis","20-06-2026","09:00 - 16:30","EHAK basis","Edusafe (Ambu)","Edusafe Surlinio CMS"
"EHAK herhaling","20-06-2026","09:00 - 16:30","EHAK herhaling","Edusafe (Ambu)","Edusafe Surlinio CMS"
"BHV","18-06-2026","09:00 - 12:00","BHV","Sportfondsen Oostervant","Edusafe Surlinio CMS"
"BHV herhaling","18-06-2026","09:00 - 12:00","BHV herhaling","Sportfondsen Oostelijk","Edusafe Surlinio CMS"
"BHV","16-06-2026","09:00 - 13:00","BHV","Edusafe","Edusafe Surlinio CMS"
"BHV","15-06-2026","17:00 - 20:00","BHV","CO. Beachclub","Edusafe Surlinio CMS"
"BHV","15-06-2026","09:00 - 16:30","BHV","Golden Tulip Hotel Zoetermeer","Edusafe Surlinio CMS"
"EHBO herhaling","11-06-2026","09:00 - 16:30","EHBO herhaling","Edusafe","Edusafe Surlinio CMS"
"BHV","11-06-2026","09:00 - 12:00","BHV","Sportfondsen","Edusafe Surlinio CMS"
"BHV","09-06-2026","13:30 - 16:30","BHV","Montaigne Lyceum","Edusafe Surlinio CMS"
"BHV","09-06-2026","09:00 - 13:00","BHV","Sportfondsen Delft","Edusafe Surlinio CMS"
