Location Name,Street Address,Postal Code,City
"'t Vliegend Paard","","","Boskoop"
"Ado Den Haag","Haags kwartier 55","2491 BM","Den Haag"
"After's cool (locatie Den Haag)","Pansierstraat 17-19","","Den Haag"
"After's cool (locatie Rotterdam)","Adamshof 52-54","","Rotterdam"
"Alexander Hotel","","","Noordwijk"
"Ambuwerk","Oeverwallaan 130","2498 BK","Den Haag"
"AutoFacets B.V.","","","Zoetermeer"
"Beachclub Zeezicht","Noordboulevard 49","2586 ZZ","Den Haag"
"Bemmel en Kroon","Neckar 24","2491 BD","Den Haag"
"Beurtvaartadres","Maria Montessorilaan 1","2719 DB","Zoetermeer"
"Bex (Skybox 3.01 Ado)","Haags kwartier 55","2491 BM","Den Haag"
"BEX kantoor","Henricuskade 63","2497 NB","Den Haag"
"BHV Noord Nederland","Oeverkruid 12","9738 AK","Groningen"
"BOCAS","Sloterweg 527","1171 VG","Badhoevedorp (Velsen Noord - Noord Holland)"
"Boldercentrum Delfts Bleau","Schieweg 15 L","2627 AN","Delft"
"Bourgonje","Bleiswijksewg 39","2712 PB","Zoetermeer"
"Brandweer Gooi en Vechtstreek","Kamerlingh Onnesweg 148","1223 JN","Hilversum (Utrecht)"
"Brasserie Zomerzorg","","","Hillegom"
"Brijder","Johan van der Bruggenstraat 1","2553 NZ","Den Haag"
"C-sec","","","Den Haag"
"Café 't Centrum","","","Berkel en Rodenrijs"
"Canon Medical","","","Zoetermeer"
"Centramed","","","Zoetermeer"
"CO. Beachclub","","","Wassenaar"
"de Beijerd","","","Delft"
"De Kwartel","","",""
"De Markies","","","Schiedam"
"De Notenkraker","Eksterhof 2","2496 HS","Den Haag"
"De Pier","promonade","","Scheveningen"
"De Uithof","Jaap Edenweg 10","2544 NL","Den Haag"
"Delft","","","Delft"
"Den Haag","","","Den Haag"
"DRG Horeca","Weena 202","3012 NJ","Rotterdam"
"Dushi Huis","","",""
"Dushi Huis, Nijmegen","","","Nijmegen"
"Dushihuis Waalwijk","","","Waalwijk"
"E-Learning","huis","huis","huis"
"Edubookers","","",""
"Edusafe","Taag","2491CS","Den Haag"
"Edusafe (Ambu)","Oeverwallaan 130","2498 BK","Den Haag"
"Edusafe kantoor","van Ruysdaellaan 55","2264 TK","Leidschendam"
"EV Cargo Netherlands B.V.","Marco Polostraat 22","","Rotterdam"
"Event Plaza","","","Rijswijk"
"Golden Tulip Hotel Zoetermeer","Kinderen van Versteegplein 18","2713 HB","Zoetermeer"
"Golden Tulip Noordwijk","Kon. Wilhelmina Boulevard 8","2202 GS","Noordwijk"
"Grand Café Roos","Parklaan 4","2771GB","Boskoop"
"Granneman","Veenpoldersweg 14","2266 GA","Leidschendam"
"Grote Kerk","","","Den Haag"
"Hanno","","","Delft"
"Happy Moose","Lange Land 20","2725 KZ","Zoetermeer"
"Het Gastenhuis Leusden","Karel Brouwerhof 26","3832 LL","Leusden"
"Het Lofthuis","Kabeldistrict 15F","2629 HN","DELFT"
"Het Paard van Troje","Prinsegracht 12","2512 GA","Den Haag"
"Het Trefpunt","S. v. Drielstraat 4","2435 XP","Zevenhoven"
"Highberg","","","Zoetermeer"
"Hipper","Torenstraat","","Gorichem"
"Hotel Bijhorst","Zijdeweg 54","2245 BZ","Den Haag"
"Hudson","","","Wateringen"
"Huuralarm","","","Den Haag"
"Inge de Bruijn Zwembad","","","Barendrecht"
"Innova Energie B.V.","Oude Middenweg 75","2491 AC","Den Haag"
"Juliana Plaza","","","Den Haag"
"Jumbo","Alphons Diepenbrockhof","","Den Haag"
"Junis (Da Vinci)","Spitsbergen 17","","Zoetermeer"
"Junis (De Tjalk)","Kadelaan 210,","2725 BR","Zoetermeer"
"Junis (de Toverberg)","Toverberg 3-4,","2716 LW","Zoetermeer"
"Junis (Klimboom)","Nesciohove 105","","Zoetermeer"
"Junis (Noordeinde)","Bijvoetplan 43-45","","Zoetermeer"
"Junis Benthuizen","Korenmolen","",""
"Junis Hoofdkantoor","","","Alphen aan den Rijn"
"Junis Ieniminie","","","Zoetermeer"
"Junis Korenmolen","","","Benthuizen"
"Junis Locatie Prins Claus","","","Zoetermeer"
"Junis Oosterheem","","",""
"Junis Passe Partout","","",""
"Junis Prins Floris","","","Zoetermeer"
"Junis Speelboerderij belvederebos","","","Zoetermeer"
"Junis Watertoren","","",""
"Kaai 13","","","Den Haag"
"Kar Holding","","","Nootdorp"
"Kasteel de Hooge Vuursche","Hilversumsestraat 14","3744 KC","Baarn"
"KC Balans","","","Den Haag"
"Kerstmanspecialist","Metaalweg 4","3751 LS","Bunschoten-Spakenburg"
"KHN Zuid Holland (Hotel Den haag-Wassenaar)","Zijdeweg 54","2245 BZ","Wassenaar"
"Kistos","Schenkkade","","Den Haag"
"Krinkels","Klopperman 4c 2292 JD","2292 JD","Wateringen"
