Locatienaam,Locatie Type,Volledig Adres (Google Maps),Straat en Huisnummer,Postcode,Plaats,Contactpersoon,Telefoonnummer,E-mailadres,Gekoppeld Bedrijf,Adresstatus,Herkomst CMS
"'t Vliegend Paard","In-Company / Klantlocatie","'t Vliegend Paard","","","","","","","","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Ado Den Haag","In-Company / Klantlocatie","Haags Kwartier 55, 2491 BM Den Haag","Haags Kwartier 55","2491 BM","Den Haag","Sebas Angelovski","+31703054548","s.angelovski@adodenhaag.nl","Ado Den Haag","Adres Compleet","Edusafe Surlinio CMS"
"After's cool (locatie Den Haag)","In-Company / Klantlocatie","Pansierstraat 17-19, 2584 EG Den Haag","Pansierstraat 17-19","2584 EG","Den Haag","Marie_Louise Zieleman","+31703589930","marie-louise@afterscool.nl","After's cool","Adres Compleet","Edusafe Surlinio CMS"
"After's cool (locatie Rotterdam)","In-Company / Klantlocatie","Pansierstraat 17-19, 2584 EG Den Haag","Pansierstraat 17-19","2584 EG","Den Haag","Marie_Louise Zieleman","+31703589930","marie-louise@afterscool.nl","After's cool","Adres Compleet","Edusafe Surlinio CMS"
"Alexander Hotel","In-Company / Klantlocatie","Noordwijk","","","Noordwijk","","","","Alexander Hotel","Alleen Plaatsnaam","Edusafe Surlinio CMS"
"Ambuwerk Opleidingscentrum","Vaste Trainingslocatie (Open Inschrijving)","Oeverwallaan 130, 2498 EK Den Haag","Oeverwallaan 130","2498 EK","Den Haag","Directie Ambuwerk","+31703054548","info@ambuwerk.nl","Edusafe","Adres Compleet","Edusafe Surlinio CMS"
"AutoFacets B.V.","In-Company / Klantlocatie","Maria Montessorilaan 5, 2719 DB Zoetermeer","Maria Montessorilaan 5","2719 DB","Zoetermeer","","+31793200980","","AutoFacets B.V.","Adres Compleet","Edusafe Surlinio CMS"
"Beachclub Zeezicht","In-Company / Klantlocatie","Noordboulevard 49","Noordboulevard 49","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"Bemmel en Kroon","In-Company / Klantlocatie","Neckar 24, 2491 BD Den Haag","Neckar 24","2491 BD","Den Haag","Rene van Bemmel","+31703206065","rene@bemmel-kroon.nl","Bemmel en Kroon","Adres Compleet","Edusafe Surlinio CMS"
"Beurtvaartadres","In-Company / Klantlocatie","Maria Montessorilaan 1, 2719 DB Zoetermeer","Maria Montessorilaan 1","2719 DB","Zoetermeer","Sander Janssen","+31885522100","info@beurtvaartadres.nl","Beurtvaartadres","Adres Compleet","Edusafe Surlinio CMS"
"Bex (Skybox 3.01 Ado)","In-Company / Klantlocatie","Haags kwartier 55","Haags kwartier 55","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"BEX kantoor","In-Company / Klantlocatie","Henricuskade 63","Henricuskade 63","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"BHV Noord Nederland","In-Company / Klantlocatie","Oeverkruid 12","Oeverkruid 12","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"BOCAS (Schiphol Brandweertrainingscentrum)","Vaste Trainingslocatie (Open Inschrijving)","Sloterweg 527, 1171 VC Badhoevedorp","Sloterweg 527","1171 VC","Badhoevedorp","Opleidingscoördinator BOCAS","+31206585100","info@bocas.nl","Edusafe","Adres Compleet","Edusafe Surlinio CMS"
"Boldercentrum Delfts Bleau","Vaste Trainingslocatie (Open Inschrijving)","Schieweg 15 L","Schieweg 15 L","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"Bourgonje geluid en lichtservice","In-Company / Klantlocatie","Bleiswijkseweg 39, 2712 PB Zoetermeer","Bleiswijkseweg 39","2712 PB","Zoetermeer","John Tanis","+31613289966","john.tanis@bourgonje.nl","Bourgonje geluid en lichtservice B.V.","Adres Compleet","Edusafe Surlinio CMS"
"Brandweer Gooi en Vechtstreek","Vaste Trainingslocatie (Open Inschrijving)","Kamerlingh Onnesweg 148","Kamerlingh Onnesweg 148","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"Brasserie Zomerzorg","In-Company / Klantlocatie","Brasserie Zomerzorg","","","","","","","","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Brijder Verslavingszorg","In-Company / Klantlocatie","Johan van der Bruggenstraat 1, 2521 CA Den Haag","Johan van der Bruggenstraat 1","2521 CA","Den Haag","Coördinator BHV","+31883582000","info@brijder.nl","Parnassia Groep","Adres Compleet","Edusafe Surlinio CMS"
"C-sec","In-Company / Klantlocatie","C-sec","","","","","","","C-Sec","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Café 't Centrum","In-Company / Klantlocatie","Berkel en Rodenrijs","","","Berkel en Rodenrijs","","","","Café 't Centrum","Alleen Plaatsnaam","Edusafe Surlinio CMS"
"Canon Medical","In-Company / Klantlocatie","Canon Medical","","","","","","","Canon Medical Europe","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Centramed","In-Company / Klantlocatie","Prinses Beatrixlaan 582, 2288 GA Rijswijk","Prinses Beatrixlaan 582","2288 GA","Rijswijk","Beveiligingscoördinator","+31703070000","info@centramed.nl","Onderlinge Waarborgmaatschappij Centramed B.A.","Adres Compleet","Edusafe Surlinio CMS"
"CO. Beachclub","In-Company / Klantlocatie","CO. Beachclub","","","","","","","CO. beachclub","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
