Product / Course Name,Category,Price (Excl. BTW),Published on Website
"AED / Reanimatie","ehbo","€ 69,00",""
"Basisveiligheid VCA","vca","€ 250,00",""
"BHV","bhv","€ 0,00",""
"BHV Basis","bhv","€ 195,00",""
"BHV Brand en Ontruiming basis","overig","€ 0,00",""
"BHV Eerste Hulp","bhv","€ 0,00",""
"BHV Eerste Hulp basis","overig","€ 0,00",""
"BHV Engels","bhv","€ 150,00",""
"BHV herhaling","bhv","€ 175,00",""
"BHV herhaling","bhv","€ 150,00",""
"BHV herhaling B & O","bhv","€ 110,00",""
"Brandronde","overig","€ 0,00",""
"E-Learning","overig","€ 24,99",""
"EHAK basis","ehbo","€ 0,00",""
"EHAK herhaling","overig","€ 0,00",""
"EHAK herhaling Oranje Kruis","overig","€ 100,00",""
"EHBO basis","ehbo","€ 0,00",""
"EHBO herhaling","ehbo","€ 159,00",""
"Fire Fighting","overig","€ 0,00",""
"First Aid","overig","€ 0,00",""
"Geannuleerd","vca","€ 0,00",""
"Hoofd BHV","bhv","€ 599,00",""
"Injecteren Intramusculair","overig","€ 175,00",""
"Instructeur BHV","bhv","€ 1.800,00",""
"NIKTA Acute Zorgverlener","overig","€ 750,00",""
"Ontruimings oefening","overig","€ 300,00",""
"Oranje Kruis","overig","€ 100,00",""
"Ploegleider BHV","bhv","€ 295,00",""
"Preventiemedewerker","overig","€ 299,00",""
"VCA","vca","€ 0,00",""
"VCA basis examen","vca","€ 95,00",""
"VCA basis lesdag en examen","vca","€ 1,00",""
"VCA basis online voorleesexamen VGM","vca","€ 0,00",""
"VCA VOL Cursusdag en examen","vca","€ 1,00",""
"VCA Vol examen VGM","vca","€ 0,00",""
"VCA vol inclusief lesdag VGM","vca","€ 0,00",""
"VCA VOL NIBHV","vca","€ 0,00",""
"VCA-B NIBHV","vca","€ 1,00",""
"VCA-VOL examen","vca","€ 95,00",""
"VCU","vca","€ 1,00",""
"Veilig werken met de heftruck","overig","€ 200,00",""
"W.S. Reanimatie / AED","bhv","€ 60,00",""
"Workshop","overig","€ 0,00",""
