Cursusnaam,Categorie,Prijs Excl BTW,Geldigheidsduur (Jaren),Cursusduur / Dagdelen,Certificaattype,Cursuscode,Omschrijving,Herkomst CMS
"AED / Reanimatie","EHBO","69.00","1","1 dag (2 dagdelen)","Edusafe Certificaat & Pasje","AED -1","Officiële AED / Reanimatie opleiding verzorgd door Edusafe","Edusafe Surlinio CMS"
"Basisveiligheid VCA","VCA","250.00","10","1 dag (2 dagdelen)","SSVV / VCA Diploma","BASI-10","Officiële Basisveiligheid VCA opleiding verzorgd door Edusafe","Edusafe Surlinio CMS"
"BHV","BHV","0.00","1","1 dag (2 dagdelen)","Edusafe Certificaat & Pasje","BHV-1","Officiële BHV opleiding verzorgd door Edusafe","Edusafe Surlinio CMS"
"BHV Basis","BHV","195.00","1","1 dag (2 dagdelen)","Edusafe Certificaat & Pasje","BHV -1","Officiële BHV Basis opleiding verzorgd door Edusafe","Edusafe Surlinio CMS"
"BHV Brand en Ontruiming basis","OVERIG","0.00","1","1 dag (2 dagdelen)","Edusafe Certificaat & Pasje","BHV -1","Officiële BHV Brand en Ontruiming basis opleiding verzorgd door Edusafe","Edusafe Surlinio CMS"
"BHV Eerste Hulp","BHV","0.00","1","1 dag (2 dagdelen)","Edusafe Certificaat & Pasje","BHV -1","Officiële BHV Eerste Hulp opleiding verzorgd door Edusafe","Edusafe Surlinio CMS"
"BHV Eerste Hulp basis","OVERIG","0.00","1","1 dag (2 dagdelen)","Edusafe Certificaat & Pasje","BHV -1","Officiële BHV Eerste Hulp basis opleiding verzorgd door Edusafe","Edusafe Surlinio CMS"
"BHV Engels","BHV","150.00","1","1 dag (2 dagdelen)","Edusafe Certificaat & Pasje","BHV -1","Officiële BHV Engels opleiding verzorgd door Edusafe","Edusafe Surlinio CMS"
"BHV herhaling","BHV","150.00","1","1 dagdeel (4 uur)","Edusafe Certificaat & Pasje","BHV -1","Officiële BHV herhaling opleiding verzorgd door Edusafe","Edusafe Surlinio CMS"
"BHV herhaling B & O","BHV","110.00","1","1 dagdeel (4 uur)","Edusafe Certificaat & Pasje","BHV -1","Officiële BHV herhaling B & O opleiding verzorgd door Edusafe","Edusafe Surlinio CMS"
"Brandronde","OVERIG","0.00","1","1 dag (2 dagdelen)","Edusafe Certificaat & Pasje","BRAN-1","Officiële Brandronde opleiding verzorgd door Edusafe","Edusafe Surlinio CMS"
"E-Learning","OVERIG","24.99","1","Online zelfstudie","Edusafe Certificaat & Pasje","E-LE-1","Officiële E-Learning opleiding verzorgd door Edusafe","Edusafe Surlinio CMS"
